"Name","Country","Continent","Description","Category","Origins"
"Temple of Angkor","Cambodia","Asia","Hindu Heaven on Earth","Religion","Man-made"
"Great Barrier Reef","Australia","Oceania","Oz's Underwater Wonderland","Wildlife","Natural"
"Machu Picchu","Peru","South America","Incan Enigma","Historical Site","Man-made"
"Great Wall of China","China","Asia","What a Wall!","Historical Site","Man-made"
"Taj Mahal","India","Asia","Magnificent Mughal Masterpiece","Palace/Castle","Man-made"
"Grand Canyon National Park","USA","North America","Nature's Ultimate showstopper","Geological Feature","Natural"
"Colosseum","Italy","Europe","Bloody Romans","Historical Site","Man-made"
"Iguazu Falls","Brazil/Argentina","South America","Thunderous white-water thrills","Water Feature","Natural"
"Alhambra","Spain","Europe","Spain's Moorish Masterpiece","Palace/Castle","Man-made"
"Aya Sofya","Turkey","Asia","A Fusion of Faiths","Religion","Man-made"
"Fez Medina ","Morocco","Africa","Labyrinthine Milllenia-old Wall","District/Square","Man-made"
"Twelve Apostles","Australia","Oceania","Sea spires","Geological Feature","Natural"
"Petra","Jordan","Asia","Better than Indiana Jones","Historical Site","Man-made"
"Tikal","Guatemala","North America","Walk in Ancient Majesty","Historical Site","Man-made"
"British Musuem ","England","Europe","London's Other Crown Jewels","Musuem","Man-made"
"Sagrada Familia","Spain","Europe","Spain's Iconic Modernista Masterpiece","Religion","Man-made"
"Fiorland National Park","New Zealand","Oceania","Epic World Heritage wilderness","Nature Landscape","Natural"
"Santorini","Greece","Europe","Black-eyed Beauty","Modern Attractions","Man-made"
"Galapagos Islands","Ecuador","South America","Where The Wild Things Are","Wildlife","Natural"
"Musuem of Old & New Art","Australia","Oceania","Art at the End of the World","Musuem","Man-made"
"Yosemite National Park","USA","North America","Rockin' It","Nature Landscape","Natural"
"Dubrovnik Old City Walls","Croatia","Europe","Battlement Beauty","Palace/Castle","Man-made"
"Salar de Uyuni","Bolivia","South America","Salt of the Earth","Nature Landscape","Natural"
"Bagan","Myanmar","Asia","The Jewel in Myanmar's Crown","Religion","Man-made"
"Pyramid of Gizas","Egypt","Africa","The Ancient Wonder","Historical Site","Man-made"
"Piazza San Marco","Italy","Europe","Attitude & Ambience","District/Square","Man-made"
"Victoria Falls","Zimbabwe/Zambia","Africa","Thundering Waters","Water Feature","Natural"
"Acropolis","Greece","Europe","Greek Classics","Historical Site","Man-made"
"Chateay de Versailles","France","Europe","France's Grandest Chateau","Palace/Castle","Man-made"
"Djemaa el-Fna","Morocco","Africa","Where Street Theatre Thrives","District/Square","Man-made"
"Hanoi Old Quarter","Vietnam","Asia","Multiculutral Melting Pot","District/Square","Man-made"
"Cradle Mountain","Australia","Oceania","Natural" Tasmanian Splendour","Geological Feature","Natural"
"Uluru","Australia","Oceania","Kaleidoscopic Desert Skyscraper","Geological Feature","Natural"
"Charles Bridge","Czech Republic","Europe","Bridge Across Time","Historical Site","Man-made"
"Abel Tasman National Park","New Zealand","Oceania","Nature's Costal Playground","Water Feature","Natural"
"Lake District National Park","England","Europe","England's Poetic Wilderness","Nature Landscape","Natural"
"Louvre","France","Europe","Epic Art House","Musuem","Man-made"
"Torres del Paine","Chile","South America","Hiking-lover's Paradise","Nature Landscape","Natural"
