Name,Country,Description,Category,Origins
Temple of Angkor,Cambodia,Hindu Heaven on Earth,Religion,Man-made
Great Barrier Reef,Australia,Oz's Underwater Wonderland,Wildlife,Natural
Machu Picchu,Peru,Incan Enigma,Historical Site,Man-made
Great Wall of China,China,What a Wall!,Historical Site,Man-made
Taj Mahal,India,Magnificent Mughal Masterpiece,Palace/Castle,Man-made
Grand Canyon National Park,US,Nature's Ultimate showstopper,Geological Feature,Natural
Colosseum,Italy,Bloody Romans,Historical Site,Man-made
Iguazu Falls,Brazil,Thunderous white-water thrills,Water Feature,Natural
Alhambra,Spain,Spain's Moorish Masterpiece,Palace/Castle,Man-made
Aya Sofya,Turkey,A Fusion of Faiths,Religion,Man-made
Fez Medina,Morocco,Labyrinthine Milllenia-old Wall,District/Square,Man-made
Twelve Apostles,Australia,Sea spires,Geological Feature,Natural
Petra,Jordan,Better than Indiana Jones,Historical Site,Man-made
Tikal,Guatemala,Walk in Ancient Majesty,Historical Site,Man-made
British Museum,UK,London's Other Crown Jewels,Museum,Man-made
Sagrada Familia,Spain,Spain's Iconic Modernista Masterpiece,Religion,Man-made
Fiorland National Park,New Zealand,Epic World Heritage wilderness,Nature Landscape,Natural
Santorini,Greece,Black-eyed Beauty,Modern Attractions,Man-made
Galapagos Islands,Ecuador,Where The Wild Things Are,Wildlife,Natural
Museum of Old & New Art,Australia,Art at the End of the World,Museum,Man-made
Yosemite National Park,US,Rockin' It,Nature Landscape,Natural
Dubrovnik Old City Walls,Croatia,Battlement Beauty,Palace/Castle,Man-made
Salar de Uyuni,Bolivia,Salt of the Earth,Nature Landscape,Natural
Bagan,Myanmar,The Jewel in Myanmar's Crown,Religion,Man-made
Pyramid of Gizas,Egypt,The Ancient Wonder,Historical Site,Man-made
Piazza San Marco,Italy,Attitude & Ambience,District/Square,Man-made
Victoria Falls,Zimbabwe,Thundering Waters,Water Feature,Natural
Acropolis,Greece,Greek Classics,Historical Site,Man-made
Chateay de Versailles,France,France's Grandest Chateau,Palace/Castle,Man-made
Djemaa el-Fna,Morocco,Where Street Theatre Thrives,District/Square,Man-made
Hanoi Old Quarter,Vietnam,Multiculutral Melting Pot,District/Square,Man-made
Cradle Mountain,Australia,Natural Tasmanian Splendour,Geological Feature,Natural
Uluru,Australia,Kaleidoscopic Desert Skyscraper,Geological Feature,Natural
Charles Bridge,Czech Republic,Bridge Across Time,Historical Site,Man-made
Abel Tasman National Park,New Zealand,Nature's Costal Playground,Water Feature,Natural
Lake District National Park,UK,England's Poetic Wilderness,Nature Landscape,Natural
Louvre,France,Epic Art House,Museum,Man-made
Torres del Paine,Chile,Hiking-lover's Paradise,Nature Landscape,Natural
Lake Baikal,Russia,Siberia's Astonishing Abyss,Water Feature,Natural
Eiffel Tower,France,The Ultimate French Taste,Modern Attractions,Man-made
Pompeii,Italy,Behold The Earth's Ruby,Historical Site,Man-made
Habana Vieja,Cuba,Crumbling Colonial Splendour,District/Square,Man-made
Table Mountain,South Africa,Tabletop Capers,Geological Feature,Natural
Old Town Square,Czech Republic,Prague's Clockwork Heart,District/Square,Man-made
Serengeti National Park,Tanzania,The Wildlife Show,Wildlife,Natural
Hermitage,Russia,Russia's Treasure Box,Museum,Man-made
Bay of Kotor,Montenegro,Seaside Mountain Majesty,Water Feature,Man-made
Jaisamlmer,India,Leave other Desert Forts in the Shade,Palace/Castle,Man-made
Ngorongoro Crater,Tanzania,Dizzying Wildlife Concretrations,Wildlife,Natural
Hiroshima Peace Memorial Park,Japan,A Moving Testament to World Peace,Historical Site,Man-made
Pantheon,Italy,What a Roman Relic!,Historical Site,Man-made
Tate Modern,UK,Modern Art Monolith,Museum,Man-made
Naqsh e-Jahan,Iran,Persian Perfection,Religion,Man-made
Tiger Leaping Gorge,China,Trails Craved through Time,Geological Feature,Natural
Notre-Dame,France,Holy Heart of Paris,Religion,Man-made
Kakadu National Park,Australia,Tropical Timewarp,Nature Landscape,Natural
Sydney Opera House,Australia,Singing Sails,Modern Attractions,Man-made
Edinburgh Castle,UK,Tall Dark and Handsome Castle,Palace/Castle,Man-made
Anne Frank Huis,Netherlands,Haunting History,Historical Site,Man-made
Jokulsarlon,Iceland,Luminous Iceberg Lagoon,Water Feature,Natural
Yellowstone National Park,US,One Stemaing Great Wilderness,Geological Feature,Natural
Stonehenge,UK,Prehistoric Puzzle,Historical Site,Man-made
Berlin Wall,Germany,The Fallen Cold-War Barrier,Historical Site,Man-made
Isle of Skye,UK,Magical Island,Nature Landscape,Natural
Halong Bay,Vietnam,Karst Wonder World,Geological Feature,Natural
Duomo Santa Maria di Fiore,Italy,Renaissance revisited,Religion,Man-made
Koh Tao,Thailand,Diver's Paradise,Adventure/Activity,Natural
Cappadocia,Turkey,Cave Dwelling on the Moon,Geological Feature,Natural
Palenque,Mexico,Pyramid Perfection,Historical Site,Man-made
Ilulissat Kangerlua,Greenland,Bus-Sized 'Berg Floating on a Bay,Water Feature,Natural
Mt Sinai,Egypt,Moses' Spectacular Mount,Religion,Natural
Pao de Acucar,Brazil,On Top of the World,Geological Feature,Natural
Mezquita,Spain,Worlds Collide in Cordoba,Religion,Man-made
Lalibela,Ethiopia,Africa's Subterranean City,Religion,Man-made
Lake Bled,Slovenia,Picture-perfect Lakeside Setting,Water Feature,Natural
Arashiyama's Bamboo Grove,Japan,Magical Nature,Nature Landscape,Natural
Redwood National Park,US,Natural Californian Cathedrals,Nature Landscape,Natural
Chichen Itza,Mexico,A New Wonder of the World,Historical Site,Man-made
Masai Mara National Reserve,Kenya,Killer African Wildlife,Wildlife,Natural
Metropolitan Museum of Art,US,State of the Art,Museum,Man-made
Franz Josef & Fox Glacier,New Zealand,Ice Dreams,Water Feature,Natural
Valley of the Kings,Egypt,Tomb Raider's Treasures,Historical Site,Man-made
Hoi An Old Town,Vietnam,Old-world Charm,District/Square,Man-made
Monument Valley,US,Sandstone Fantasyland,Geological Feature,Natural
St Peter's Basilica,Italy,Opulent Papal Monument,Religion,Man-made
Dome of the Rock,Israel,Prescious Symiol of Faith,Religion,Man-made
Red Square,Russia,Russia's Heart & Histroical Soul,District/Square,Man-made
Forbidden City,China,Legendary Dynastic Intrigue,Palace/Castle,Man-made
The Uffizi,Italy,Renaissance revisited,Museum,Man-made
Everest Base Camp,Nepal,The Top of the World,Geological Feature,Natural
Shwedagon Paya,Myanmar,All that glitters...,Religion,Man-made
The Pyramid of Teotihuacan,Mexico,Ancient Civilisation with Mystical Energies,Religion,Man-made
Blue Lagoon,Iceland,Geothermal Disneyland,Water Feature,Natural
